Place_of_residence_partner_man,Place_of_birth_partner_man,Age_partner_man,Monthly_income_partner_man_weight,Occupation_partner_man,Place_of_birth_partner_woman,Age_partner_woman,Place_of_residence_partner_woman,Occupation_partner_woman,Monthly_income_partner_woman_weight,Level_of_education_partner_man,Level_of_education_partner_woman,Custody
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,25,1000,EMPLOYEE,XALAPA-ENRIQUEZ,25,OAXACA,MUSIC TEACHER,43000,PROFESSIONAL,PRIMARY,DAD
CHICONTEPEC,SAN RAFAEL,35,900,GENERAL DOCTOR,SOLITUDE OF BENDING,42,FLAT,RADIO PRODUCER,13569,OTHER,OTHER,OTHER
SAN ROMAN,RAFAEL LUCIO,62,9000,CLINICAL CHEMICAL,POISSY,39,VILLA JUANITA,REPORTER,8500,PROFESSIONAL,HIGH SCHOOL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,28,6000,MECHANICAL,XALAPA-ENRIQUEZ,26,XALAPA-ENRIQUEZ,EDUCATOR,7000,HIGH SCHOOL,PROFESSIONAL,MOTHER
PUEBLA,PUEBLA,44,20000,EMPLOYEE,XALAPA-ENRIQUEZ,41,XALAPA-ENRIQUEZ,HOUSEWIFE,1200,PROFESSIONAL,PREPARATORY,MOTHER
MEXICO,SAN PEDRO ALTEPEPAN,69,4100,PLUMBER,HUAUTLA DE JIMENEZ,68,PALMA SOLA,PEDAGOGUE,30000,PREPARATORY,HIGH SCHOOL,OTHER
VIEWPOINTS,XALAPA - ENRIQUEZ,36,9000,ATTORNEY,VERACRUZ,32,XALAPA-ENRIQUEZ,DENTIST,5000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,38,7800,STEVEDORE,XALAPA-ENRIQUEZ,38,XALAPA-ENRIQUEZ,HOME DUTIES,90000,PRIMARY,HIGH SCHOOL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,36,120000,DOCTOR,XALAPA-ENRIQUEZ,32,XALAPA-ENRIQUEZ,HOME DUTIES,11000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,66,2000,BUSINESSMAN,FEDERAL DISTRICT,51,XALAPA-ENRIQUEZ,BUSINESSMAN,2500,HIGH SCHOOL,HIGH SCHOOL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,43,3000,EMPLOYEE,TLALNELHUAYOCAN,43,XALAPA-ENRIQUEZ,EMPLOYEE,3000,PRIMARY,HIGH SCHOOL,OTHER
THE ESTANZUELA,TATATILA,25,29000,VETERINARIAN,CUERNAVACA,56,ORIZABA,CATHEDRATIC,300,PRIMARY,OTHER,DAD
MORELIA,MORELIA,35,12500,AUDITOR,XALAPA-ENRIQUEZ,34,XALAPA-ENRIQUEZ,EMPLOYEE,6000,PROFESSIONAL,PROFESSIONAL,DAD
NAOLINCO,POLOLCINGO,30,7424,PLASTIC ARTIST,Bogota,69,COLIMA,RESTAURANT,3000,PREPARATORY,HIGH SCHOOL,OTHER
CHICONTEPEC,SOLTEPEC,45,24000,MEXICAN,COACOATZINTLA,56,OTILPAN,BANK CLERK,3440,OTHER,HIGH SCHOOL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,31,2000,BUSINESSMAN,FORTIN OF THE FLOWERS,32,XALAPA-ENRIQUEZ,EMPLOYEE,2000,HIGH SCHOOL,PREPARATORY,DAD
XALAPA-ENRIQUEZ,BANDERILLA,41,3000,MECHANICAL,XALAPA-ENRIQUEZ,47,XALAPA-ENRIQUEZ,BUSINESSMAN,3500,PREPARATORY,PREPARATORY,MOTHER
THE BEAMS,THE JICARO,65,1025,PENSIONER,NICOLAS WHITE,17,ORANGES,BIOLOGICAL PHARMACEUTICAL CHEMISTRY,2000,OTHER,OTHER,OTHER
PASSAGE OF SHEEP,CARTAGENA,23,9600,ACADEMIC,JUCHITAN,48,MEDELLIN DE BRAVO,RESTAURANT,63000,PROFESSIONAL,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,71,550,SURGEON,XALAPA-ENRIQUEZ,54,XALAPA-ENRIQUEZ,ING. CHEMICAL,7800,PREPARATORY,PREPARATORY,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,34,4000,ARCHITECT,XALAPA-ENRIQUEZ,33,XALAPA-ENRIQUEZ,PROMOTION GIRL,4000,PROFESSIONAL,HIGH SCHOOL,MOTHER
XALAPA-ENRIQUEZ,VERACRUZ,30,7800,EMPLOYEE,XALAPA-ENRIQUEZ,57,XALAPA-ENRIQUEZ,EMPLOYEE,2000,PROFESSIONAL,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,RICH POOL,26,13000,EMPLOYEE,XALAPA-ENRIQUEZ,22,XALAPA-ENRIQUEZ,STUDENT,19000,PROFESSIONAL,PREPARATORY,DAD
REYNOSA,WEAVING,26,17000,OPTOMETRIST,SANTIAGO,24,EMILIANO ZAPATA,BANKER,800,PROFESSIONAL,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,TEZIUTLAN,27,5000,EMPLOYEE,FEDERAL DISTRICT,25,HIGH PROFIT,HOUSEWIFE,9100,PROFESSIONAL,PROFESSIONAL,OTHER
GUANAJUATO,THE LIGHT,29,70000,ENPLEADO,TECOMAN,66,CARDEL,PODOLOGY,28000,HIGH SCHOOL,OTHER,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,39,3500,EMPLOYEE,XALAPA-ENRIQUEZ,45,XALAPA-ENRIQUEZ,EMPLOYEE,2800,HIGH SCHOOL,HIGH SCHOOL,DAD
ATLACOMULCO,FUTURE,74,3200,SERIGRAPHER,SATELITE,26,CARDENAS TABASCO,MASTER'S DEGREE,25000,PROFESSIONAL,PROFESSIONAL,DAD
THE CASTLE,POLAND,71,1700,NUTRIOLOGIST,CEMPOALA,73,THE OLD ONE,PROFESSOR,1930,PRIMARY,OTHER,DAD
XALAPA-ENRIQUEZ,CHAMPILIAN,48,1200,ALBAÑIL,ALMANZA,45,XALAPA-ENRIQUEZ,PUBLICIST,1900,PRIMARY,PRIMARY,MOTHER
FEDERAL DISTRICT,FEDERAL DISTRICT,34,12000,BUSINESSMAN,PLAN OF THE HAGES,34,XALAPA-ENRIQUEZ,Accountant,8000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,COLORADO,47,3500,EMPLOYEE,XALAPA-ENRIQUEZ,40,XALAPA-ENRIQUEZ,HOUSEWIFE,1750,PROFESSIONAL,PREPARATORY,DAD
SAN MARCOS,THE CHOAPAS,29,215000,CORVETTE CAPTAIN,ALVARADO,54,CABO SAN LUCAS,STUDENT,8200,PROFESSIONAL,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,TEPIC,28,3000,EMPLOYEE,XALAPA-ENRIQUEZ,27,XALAPA-ENRIQUEZ,EMPLOYEE,4000,PREPARATORY,PROFESSIONAL,OTHER
MONTERREY,METZTITLAN,20,9500,ORTHODONTIST,TEPETATES,44,CUAUTITLAN IZCALLI,ING. IN COMPUTER SYSTEMS,4087,PRIMARY,PREPARATORY,DAD
SAN JUAN,THE KINGS,48,5600,ELECTRIC TECHNICIAN,DOOR,65,SOLIDARITY,PROMOTION GIRL,30000,HIGH SCHOOL,HIGH SCHOOL,OTHER
CALETA DE CAMPOS,BALZAPOTE CONGREGATION,54,7424,SURVEYOR,WHITE CROSS,43,ACCEPT,VET,20000,OTHER,WITHOUT SCHOOLING,OTHER
XALAPA-ENRIQUEZ,FEDERAL DISTRICT,33,10000,EMPLOYEE,ROOF LERDO,31,XALAPA-ENRIQUEZ,REPORTER,10300,PRIMARY,HIGH SCHOOL,MOTHER
XALAPA-ENRIQUEZ,FEDERAL DISTRICT,39,7000,STYLIST,XALAPA-ENRIQUEZ,40,XALAPA-ENRIQUEZ,STYLIST,2500,PREPARATORY,PREPARATORY,MOTHER
TEJEDA SHRIMP,"SAN ANTONIO, PASO DEL XALAPA",66,5300,TAILOR,PIJIJIAPAN,41,OLD PACHO,DOCTOR,15000,WITHOUT SCHOOLING,PRIMARY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,36,6000,EMPLOYEE,XALAPA-ENRIQUEZ,35,XALAPA-ENRIQUEZ,EMPLOYEE,6500,PROFESSIONAL,WITHOUT SCHOOLING,MOTHER
SANTIAGO TUXTLA,FEDERAL DISTRICT,40,70000,BUSINESSMAN,XALAPA-ENRIQUEZ,34,XALAPA-ENRIQUEZ,BUSINESSMAN,17600,PROFESSIONAL,PROFESSIONAL,MOTHER
COMMITTEE,SAINT ANA,28,33000,BUSINESSMAN,SAINT JOSEPH,30,CARDEL,SURGEON,4300,WITHOUT SCHOOLING,HIGH SCHOOL,OTHER
SOLITUDE OF BENDING,HERRERA CAZONES,29,8000,DANCER,GOOD NIGHT,37,CARDENAS TABASCO,CHEMISTRY,1600,PREPARATORY,PRIMARY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,38,2000,EMPLOYEE,XALAPA-ENRIQUEZ,36,XALAPA-ENRIQUEZ,EMPLOYEE,2000,HIGH SCHOOL,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,COSAMALOAPAN,42,13400,EMPLOYEE,XALAPA-ENRIQUEZ,42,XALAPA-ENRIQUEZ,EMPLOYEE,41000,PROFESSIONAL,PROFESSIONAL,MOTHER
VIEWPOINTS,SAUCILLO,91,11500,BUSINESSMAN,GUARANTEES,25,ACCEPT,ING. CHEMICAL,2400,PRIMARY,PREPARATORY,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,21,6500,EMPLOYEE,XALAPA-ENRIQUEZ,20,XALAPA-ENRIQUEZ,EMPLOYEE,24000,WITHOUT SCHOOLING,OTHER,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,30,4800,CHEMICAL,XALAPA-ENRIQUEZ,35,XALAPA-ENRIQUEZ,CHEMISTRY,10000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,43,42,DOCTOR,FEDERAL DISTRICT,39,XALAPA-ENRIQUEZ,DOCTOR,708652,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,COATZACOALCOS,41,6000,EMPLOYEE,COATZACOALCOS,44,XALAPA-ENRIQUEZ,BUSINESSMAN,7000,PROFESSIONAL,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,30,3700,TEACHER,XALAPA-ENRIQUEZ,22,XALAPA-ENRIQUEZ,EMPLOYEE,1550,PROFESSIONAL,HIGH SCHOOL,MOTHER
MACUSPANA,BEAUTIFUL VILLA,50,19194,SALES,SALTILLO LAFRAGUA,78,THE PITAYA,GOVERNMENT EMPLOYEE,4550,HIGH SCHOOL,PROFESSIONAL,MOTHER
SAN ROMAN,COLOGNE JANUARY 6,48,9996.5,THERAPIST,COLOGNE EMILIANO ZAPATA,34,SAN ANDRES TUXTLA,PROFESSOR OF ENGLISH,1000,PREPARATORY,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,28,14000,ING.,XALAPA-ENRIQUEZ,26,XALAPA-ENRIQUEZ,EMPLOYEE,11000,PROFESSIONAL,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,63,27550,EMPLOYEE,ALTOTONGA,60,XALAPA-ENRIQUEZ,TEACHER,7500,PREPARATORY,PROFESSIONAL,DAD
JUCHIQUE DE FERRER,PARRAL,72,4330,WELDER,VARGAS,46,BUT,RADIO PRODUCER,6849,PREPARATORY,PRIMARY,MOTHER
XALAPA-ENRIQUEZ,SAN MIGUEL AGUAZUEL,47,2100,EMPLOYEE,LEONA VICARIO,42,THE BEAMS,LIC. BUSINESS ADMINISTRATION,9100,HIGH SCHOOL,HIGH SCHOOL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,40,8000,EMPLOYEE,XALAPA-ENRIQUEZ,40,XALAPA-ENRIQUEZ,TEACHER,8000,PROFESSIONAL,PROFESSIONAL,OTHER
TUXPAN,VEGA DE ALATORRE,24,3400,PHOTOGRAPHER,APAZAPAN,44,HUEJOTZINGO,PSYCHOTHERAPIST,1530,OTHER,HIGH SCHOOL,DAD
XALAPA-ENRIQUEZ,COATEPEC,41,16000,EMPLOYEE,XALAPA-ENRIQUEZ,37,XALAPA-ENRIQUEZ,EMPLOYEE,16000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,CORDOVA,35,20000,ATTORNEY,JALTIPAN DE MORELOS,36,XALAPA-ENRIQUEZ,TEACHER,6000,PROFESSIONAL,PROFESSIONAL,MOTHER
SAN LUIS POTOSI,TEAPA,36,7200,AGRONOMIST,COAMILES,27,WATER STONE,COMMISSIONIST,7800,WITHOUT SCHOOLING,PRIMARY,OTHER
XICO,URSULO GALVAN,40,2400,EMPLOYEE,SAN MARCOS DE LEON,54,SAN MARCOS,EMPLOYEE,3200,HIGH SCHOOL,PREPARATORY,MOTHER
CUAUHTEMOC,YECUATLA,78,523305,SYSTEM TECHNIQUE,MONTEVIDEO,65,TEPIC,JOURNALIST,5900,WITHOUT SCHOOLING,PRIMARY,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,41,8000,EDUCATOR,XALAPA-ENRIQUEZ,40,XALAPA-ENRIQUEZ,EDUCATOR,100,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,41,6000,ING.,XALAPA-ENRIQUEZ,41,XALAPA-ENRIQUEZ,EMPLOYEE,6000,PROFESSIONAL,PREPARATORY,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,37,10000,EMPLOYEE,XALAPA-ENRIQUEZ,38,XALAPA-ENRIQUEZ,Accountant,3000,HIGH SCHOOL,PROFESSIONAL,OTHER
TEZIUTLAN,SAN PEDRO ALTEPEPAN,45,523305,SURVEYOR,CHAFF,64,COSAMALOAPAN,STYLIST,5800,PREPARATORY,WITHOUT SCHOOLING,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,39,1000,EMPLOYEE,XALAPA-ENRIQUEZ,43,XALAPA-ENRIQUEZ,EMPLOYEE,8000,PROFESSIONAL,PROFESSIONAL,MOTHER
MONTERREY,FEDERAL DISTRICT,40,6000,EMPLOYEE,CHACHALACAS,41,XALAPA-ENRIQUEZ,EMPLOYEE,10000,PREPARATORY,PROFESSIONAL,MOTHER
OTATITLAN,FEDERAL DISTRICT,62,15000,REPORTER,SALINA CRUZ,44,AGUASCALIENTES,CATHEDRATIC,44000,OTHER,PREPARATORY,DAD
XALAPA-ENRIQUEZ,MEXICO,54,5000,EMPLOYEE,XALAPA-ENRIQUEZ,47,COATEPEC,HOUSEWIFE,2800,PREPARATORY,PREPARATORY,OTHER
